FundingDecisionId2,GeographicAreaId1,GeographicAreaCode_ISO21,GeographicAreaCode_ISO22,GeographicAreaCode_ISO31,GeographicAreaName1,GeographicAreaLevelName1,ComponentId1,ComponentName1,PeriodFrom,PeriodTo,Currency,AllocatedAmount,ProgramSplitAmount,ProgramSplitStatus,AllocationUtilizationPeriodStartDate,AllocationUtilizationPeriodEndDate
4d27948f-5925-4fbe-b810-390da14a3256,16aeb894-1042-4a7a-9757-016e29cbdf8f,NI,NI,NIC,Nicaragua,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,6435536.00,6435536.00,Agreed,1/1/2019 12:00:00 AM,12/31/2021 12:00:00 AM
da0c9beb-03f9-4be8-8691-5f5b227b0bbe,16aeb894-1042-4a7a-9757-016e29cbdf8f,NI,NI,NIC,Nicaragua,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,4129716.00,4129716.00,Agreed,1/1/2019 12:00:00 AM,12/31/2021 12:00:00 AM
27e80381-42d5-4502-a098-ac5a0b805197,16aeb894-1042-4a7a-9757-016e29cbdf8f,NI,NI,NIC,Nicaragua,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,8429981.00,8429981.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
a56d04eb-0d7c-4d41-831b-2b02fc0f3c0d,265a29e3-6d91-4488-8f21-05dbf5040837,KG,KG,KGZ,Kyrgyzstan,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,11266362.00,11266362.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
70ec527f-ab81-4a65-b97f-534ab55d3e64,265a29e3-6d91-4488-8f21-05dbf5040837,KG,KG,KGZ,Kyrgyzstan,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,12203652.00,12203652.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
3230d6b2-9e31-4e69-8006-21f0fc96e81c,90fb7820-b2f0-4401-bc77-067270585a9b,VN,VN,VNM,Viet Nam,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,56638006.00,56638006.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
05a906de-3488-4221-b643-65c00063b754,90fb7820-b2f0-4401-bc77-067270585a9b,VN,VN,VNM,Viet Nam,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,47281094.00,47281094.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
ac6bedc4-ac3a-4fd8-a8b1-51aa7053e54c,430b8acd-ef36-4ef1-8231-0e730499d19a,NG,NG,NGA,Nigeria,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,107495151.00,92241428.34,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
6014d488-53d2-4fec-951b-783cde096cf0,430b8acd-ef36-4ef1-8231-0e730499d19a,NG,NG,NGA,Nigeria,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,313409111.00,286820856.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
5b788162-76d8-4736-836a-eb916aec2ca9,430b8acd-ef36-4ef1-8231-0e730499d19a,NG,NG,NGA,Nigeria,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,239781871.00,281623849.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
859e3d49-ee60-4833-a200-39e5d0a2d725,ed3fb9ed-a462-4743-b6d3-12b20f363974,CI,CI,CIV,Côte d'Ivoire,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,74113356.53,66042412.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
